Building vocabulary...

--- Top 10 most frequent words (subsampling) ---
  'the   ' | count: 1061396 | discard prob: 98.7%
  'of    ' | count: 593677  | discard prob: 98.3%
  'and   ' | count: 416629  | discard prob: 98.0%
  'one   ' | count: 411764  | discard prob: 97.9%
  'in    ' | count: 372201  | discard prob: 97.8%
  'a     ' | count: 325873  | discard prob: 97.7%
  'to    ' | count: 316376  | discard prob: 97.6%
  'zero  ' | count: 264975  | discard prob: 97.4%
  'nine  ' | count: 250430  | discard prob: 97.3%
  'two   ' | count: 192644  | discard prob: 97.0%
--------------------------------------------------

--------------------------------------------------
Training config:
  Vocab size:     71290 tokens
  Embedding dim:  100
  Epochs:         5
  Batch size:     256
  Window size:    5
  Neg samples:    5
  Optimizer:      sgld
  Learning rate:  0.025
--------------------------------------------------
Epoch 2 | Batch  20000 | Loss: 2.2698 | LR: 0.023848 | Tokens/s: 22598 | Snapshots: 4
Epoch 2 | Batch  21000 | Loss: 2.2682 | LR: 0.023840 | Tokens/s: 22734 | Snapshots: 4
Epoch 2 | Batch  22000 | Loss: 2.2693 | LR: 0.023833 | Tokens/s: 22892 | Snapshots: 4
Epoch 2 | Batch  23000 | Loss: 2.2696 | LR: 0.023825 | Tokens/s: 23073 | Snapshots: 4
Epoch 2 | Batch  24000 | Loss: 2.2690 | LR: 0.023817 | Tokens/s: 23360 | Snapshots: 4
Epoch 2 | Batch  25000 | Loss: 2.2682 | LR: 0.023810 | Tokens/s: 23638 | Snapshots: 5
Epoch 2 | Batch  26000 | Loss: 2.2676 | LR: 0.023802 | Tokens/s: 23894 | Snapshots: 5
Epoch 2 | Batch  27000 | Loss: 2.2680 | LR: 0.023794 | Tokens/s: 24110 | Snapshots: 5
Epoch 2 | Batch  28000 | Loss: 2.2695 | LR: 0.023787 | Tokens/s: 24182 | Snapshots: 5
Epoch 2 | Batch  29000 | Loss: 2.2711 | LR: 0.023779 | Tokens/s: 24372 | Snapshots: 5
Epoch 2 | Batch  30000 | Loss: 2.2715 | LR: 0.023771 | Tokens/s: 24526 | Snapshots: 6
